dataset_id,canonical_smiles,murcko_scaffold,scaffold_key,split
D3R_000050,Brc1cnc(N2CCCC2)cn1,c1cnc(N2CCCC2)cn1,c1cnc(N2CCCC2)cn1,train
D3R_000051,Brc1cnc(NC[C@@]2(N3CCOCC3)CCSC2)nc1,c1cnc(NC[C@@]2(N3CCOCC3)CCSC2)nc1,c1cnc(NCC2(N3CCOCC3)CCSC2)nc1,test
D3R_000052,Brc1cnc(NCc2cccc(Cn3ccnc3)c2)nc1,c1cnc(NCc2cccc(Cn3ccnc3)c2)nc1,c1cnc(NCc2cccc(Cn3ccnc3)c2)nc1,train
D3R_000053,Brc1cnc(NCc2ccncc2)nc1,c1cnc(NCc2ccncc2)nc1,c1cnc(NCc2ccncc2)nc1,test
D3R_000054,Brc1cnc(OC2CCCC2)cn1,c1cnc(OC2CCCC2)cn1,c1cnc(OC2CCCC2)cn1,train
D3R_000055,Brc1cnc2cn[nH]c2c1,c1cnc2cn[nH]c2c1,c1cnc2cn[nH]c2c1,train
D3R_000056,Brc1cnc2n1CCCC2,c1cn2c(n1)CCCC2,c1cn2c(n1)CCCC2,valid
D3R_000057,Brc1cnc2ncoc2c1,c1cnc2ncoc2c1,c1cnc2ncoc2c1,train
D3R_000058,Brc1cncc(O[C@@H]2CCOC3(CCSCC3)C2)c1,c1cncc(O[C@@H]2CCOC3(CCSCC3)C2)c1,c1cncc(OC2CCOC3(CCSCC3)C2)c1,train
D3R_000059,Brc1cnn([C@@H]2CCOC3(CCSCC3)C2)c1,c1cnn([C@@H]2CCOC3(CCSCC3)C2)c1,c1cnn(C2CCOC3(CCSCC3)C2)c1,train
D3R_000060,Brc1csc(CN2CCN(Cc3ccon3)CC2)c1,c1csc(CN2CCN(Cc3ccon3)CC2)c1,c1csc(CN2CCN(Cc3ccon3)CC2)c1,test
D3R_000061,Brc1csc(NCc2ccccc2)n1,c1ccc(CNc2nccs2)cc1,c1ccc(CNc2nccs2)cc1,train
D3R_000062,Brc1csc(SC2CCOCC2)n1,c1csc(SC2CCOCC2)n1,c1csc(SC2CCOCC2)n1,test
D3R_000063,Brc1nc([C@H]2CCOC2)sc1Br,c1csc([C@H]2CCOC2)n1,c1csc(C2CCOC2)n1,train
D3R_000064,Brc1ncccc1N1CCCC1,c1cncc(N2CCCC2)c1,c1cncc(N2CCCC2)c1,train
D3R_000065,C#CC(=O)Oc1cccc(C#N)c1,c1ccccc1,c1ccccc1,train
D3R_000066,C#CC(C)(C)NC(=O)CN(c1ccccc1Br)S(C)(=O)=O,c1ccccc1,c1ccccc1,train
D3R_000067,C#CC(CC)(CC)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,c1ccccc1,c1ccccc1,train
D3R_000068,C#CC(NC(=O)C=C)c1ccccc1,c1ccccc1,c1ccccc1,train
D3R_000069,C#CC(O)c1ccccc1C(O)C#C,c1ccccc1,c1ccccc1,train
D3R_000070,C#CC(c1ccc(Br)cc1)C1(OC)C(OC)=CC(=O)C=C1OC,O=C1C=CC(Cc2ccccc2)C=C1,O=C1C=CC(Cc2ccccc2)C=C1,train
D3R_000071,C#CC1(O)C(Br)=C(Br)C(O)(C#C)c2cc(C)c(C)cc21,C1=CCc2ccccc2C1,C1=CCc2ccccc2C1,train
D3R_000072,C#CC1(O)C(Cl)=C(Cl)C(O)(C#C)c2cc(C)c(C)cc21,C1=CCc2ccccc2C1,C1=CCc2ccccc2C1,train
D3R_000073,C#CC1(O)C(Cl)=C(Cl)C(O)(C#C)c2ccccc21,C1=CCc2ccccc2C1,C1=CCc2ccccc2C1,train
D3R_000074,C#CC1(O)C=CC(O)(C#C)c2cc(C)c(C)cc21,C1=CCc2ccccc2C1,C1=CCc2ccccc2C1,train
D3R_000075,C#CC1(O)C=CC(O)(C#C)c2ccccc21,C1=CCc2ccccc2C1,C1=CCc2ccccc2C1,train
D3R_000076,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,C1=C2CCC3C4CCCC4CCC3C2Cc2cnoc21,C1=C2CCC3C4CCCC4CCC3C2Cc2cnoc21,test
D3R_000077,C#CC1(OC[C@H](O)CN2CCN(c3ccccc3F)CC2)CCCCC1,c1ccc(N2CCN(CCCOC3CCCCC3)CC2)cc1,c1ccc(N2CCN(CCCOC3CCCCC3)CC2)cc1,test
D3R_000078,C#CC1C(C(C)=CCO)=Cc2cc(OC)ccc2N1C(=O)OC,C1=Cc2ccccc2NC1,C1=Cc2ccccc2NC1,train
D3R_000079,C#CC1N=C1c1ccccc1,c1ccc(C2=NC2)cc1,c1ccc(C2=NC2)cc1,train
D3R_000080,C#CCC1(O)C(=O)C2=C(OC(C)(C)CC2)c2ccccc21,O=C1Cc2ccccc2C2=C1CCCO2,O=C1Cc2ccccc2C2=C1CCCO2,train
D3R_000081,C#CCCN1CCN(C(=O)c2cccc(Oc3ccccc3)c2)CC1,O=C(c1cccc(Oc2ccccc2)c1)N1CCNCC1,O=C(c1cccc(Oc2ccccc2)c1)N1CCNCC1,train
D3R_000082,C#CCCN1CCN(S(=O)(=O)c2ccc(F)cc2Br)CC1,O=S(=O)(c1ccccc1)N1CCNCC1,O=S(=O)(c1ccccc1)N1CCNCC1,train
D3R_000083,C#CCCOC(=O)[C-]([I+]c1ccccc1[N+](=O)[O-])C(C)=O,c1ccccc1,c1ccccc1,train
D3R_000084,C#CCCOC(=O)c1ccnc(OC(C)(C)C)c1,c1ccncc1,c1ccncc1,train
D3R_000085,C#CCCOc1ccc(CN2[C@H](C)COC[C@@H]2C)cc1,c1ccc(CN2CCOCC2)cc1,c1ccc(CN2CCOCC2)cc1,train
D3R_000086,C#CCN(C(=O)/C=C/c1c(Cl)cccc1Cl)[C@@H]1CCS(=O)(=O)C1,O=C(/C=C/c1ccccc1)N[C@@H]1CCS(=O)(=O)C1,O=C(C=Cc1ccccc1)NC1CCS(=O)(=O)C1,train
D3R_000087,C#CCN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H]1CCS(=O)(=O)C1,O=C(Cc1ccccc1)N[C@H]1CCS(=O)(=O)C1,O=C(Cc1ccccc1)NC1CCS(=O)(=O)C1,train
D3R_000088,C#CCN(C(=O)Nc1cc(Cl)ccc1Cl)[C@H]1CCS(=O)(=O)C1,O=C(Nc1ccccc1)N[C@H]1CCS(=O)(=O)C1,O=C(Nc1ccccc1)NC1CCS(=O)(=O)C1,train
D3R_000089,C#CCN(C(=O)Nc1ccc(Cl)cc1F)[C@H]1CCS(=O)(=O)C1,O=C(Nc1ccccc1)N[C@H]1CCS(=O)(=O)C1,O=C(Nc1ccccc1)NC1CCS(=O)(=O)C1,train
D3R_000090,C#CCN(C(=O)Nc1cccc2ccccc12)[C@@H]1CCS(=O)(=O)C1,O=C(Nc1cccc2ccccc12)N[C@@H]1CCS(=O)(=O)C1,O=C(Nc1cccc2ccccc12)NC1CCS(=O)(=O)C1,train
D3R_000091,C#CCN(C(=O)Nc1ccccc1F)[C@H]1CCS(=O)(=O)C1,O=C(Nc1ccccc1)N[C@H]1CCS(=O)(=O)C1,O=C(Nc1ccccc1)NC1CCS(=O)(=O)C1,train
D3R_000092,C#CCN(C(=O)OC)[C@H](CC=C)c1ccoc1,c1ccoc1,c1ccoc1,train
D3R_000093,C#CCN(C(=O)c1ccc(S(=O)(=O)NC)cc1)C1CCCCC1,O=C(NC1CCCCC1)c1ccccc1,O=C(NC1CCCCC1)c1ccccc1,train
D3R_000094,C#CCN(C(=O)c1ccccc1C(F)(F)F)C1CCCCC1,O=C(NC1CCCCC1)c1ccccc1,O=C(NC1CCCCC1)c1ccccc1,train
D3R_000095,C#CCN(CC#C)C(=O)C1=NN(c2ccc(F)cc2)[C@@H](C(N)=O)C1,C1=NN(c2ccccc2)CC1,C1=NN(c2ccccc2)CC1,train
D3R_000096,C#CCN(CC#C)C(=O)CCN1C(=O)[C@@H](C)Oc2ccccc21,O=C1COc2ccccc2N1,O=C1COc2ccccc2N1,train
D3R_000097,C#CCN(CC#C)C(=O)CSCc1ccncc1,c1ccncc1,c1ccncc1,train
D3R_000098,C#CCN(CC#C)C(=O)c1cc(C)nc2ccc(Br)cc12,c1ccc2ncccc2c1,c1ccc2ncccc2c1,train
D3R_000099,C#CCN(CC#C)CC(=O)N[C@@H](C)c1ccccc1Cl,c1ccccc1,c1ccccc1,train
D3R_000100,C#CCN(CC#C)Cc1cc2ccccc2nc1OC,c1ccc2ncccc2c1,c1ccc2ncccc2c1,train
D3R_000101,C#CCN(CC#C)c1ccc(C)cc1,c1ccccc1,c1ccccc1,train
D3R_000102,C#CCN(CCN(C)c1ccccc1)[C@@H]1CCS(=O)(=O)C1,O=S1(=O)CC[C@@H](NCCNc2ccccc2)C1,O=S1(=O)CCC(NCCNc2ccccc2)C1,valid
D3R_000103,C#CCN(CCSc1ccc(C)c(C)c1)[C@H]1CCS(=O)(=O)C1,O=S1(=O)CC[C@H](NCCSc2ccccc2)C1,O=S1(=O)CCC(NCCSc2ccccc2)C1,test
D3R_000104,C#CCN(Cc1ccc(OCc2ccc(C)cc2)cc1)[C@@H]1CCS(=O)(=O)C1,O=S1(=O)CC[C@@H](NCc2ccc(OCc3ccccc3)cc2)C1,O=S1(=O)CCC(NCc2ccc(OCc3ccccc3)cc2)C1,valid
D3R_000105,C#CCN(Cc1ccc(SC(=O)N(C)C)cc1)[C@@H]1CCS(=O)(=O)C1,O=S1(=O)CC[C@@H](NCc2ccccc2)C1,O=S1(=O)CCC(NCc2ccccc2)C1,test
D3R_000106,C#CCN(Cc1ccccc1Cl)C1CCCC1,c1ccc(CNC2CCCC2)cc1,c1ccc(CNC2CCCC2)cc1,train
D3R_000107,C#CCN(Cc1csc(COC)n1)[C@H]1CCS(=O)(=O)C1,O=S1(=O)CC[C@H](NCc2cscn2)C1,O=S1(=O)CCC(NCc2cscn2)C1,test
D3R_000108,C#CCN1C(=O)C2(C(C#N)=C(N)OC3=C2C(=O)CC(C)(C)C3)c2ccccc21,O=C1CCCC2=C1C1(C=CO2)C(=O)Nc2ccccc21,O=C1CCCC2=C1C1(C=CO2)C(=O)Nc2ccccc21,train
D3R_000109,C#CCN1CC(=O)N(c2ccc(Cl)cc2)C1=O,O=C1CNC(=O)N1c1ccccc1,O=C1CNC(=O)N1c1ccccc1,train
D3R_000110,C#CCN1CCC(C(=O)Nc2ccc(Br)nc2C)CC1,O=C(Nc1cccnc1)C1CCNCC1,O=C(Nc1cccnc1)C1CCNCC1,train
D3R_000111,C#CCN1CCN(C(=O)CNc2ccc(OC)cc2Cl)CC1,O=C(CNc1ccccc1)N1CCNCC1,O=C(CNc1ccccc1)N1CCNCC1,train
D3R_000112,C#CCN1CCN(C(=O)CNc2cccc(C(=O)NCCO)c2C)CC1,O=C(CNc1ccccc1)N1CCNCC1,O=C(CNc1ccccc1)N1CCNCC1,train
D3R_000113,C#CCN1CCN(C(=O)NCCCc2ccccc2)CC1,O=C(NCCCc1ccccc1)N1CCNCC1,O=C(NCCCc1ccccc1)N1CCNCC1,train
D3R_000114,C#CCN1CCN(C(=O)NCCNS(=O)(=O)c2ccn(C)c2)CC1,O=C(NCCNS(=O)(=O)c1cc[nH]c1)N1CCNCC1,O=C(NCCNS(=O)(=O)c1cc[nH]c1)N1CCNCC1,train
D3R_000115,C#CCN1CCN(C(=O)NC[C@H](C)Cc2ccc(OC)cc2)CC1,O=C(NCCCc1ccccc1)N1CCNCC1,O=C(NCCCc1ccccc1)N1CCNCC1,train
D3R_000116,C#CCN1CCN(C(=O)NCc2cccnc2)CC1,O=C(NCc1cccnc1)N1CCNCC1,O=C(NCc1cccnc1)N1CCNCC1,train
D3R_000117,C#CCN1CCN(C(=O)N[C@@H](C)CN2CCN(c3ccccc3)CC2)CC1,O=C(NCCN1CCN(c2ccccc2)CC1)N1CCNCC1,O=C(NCCN1CCN(c2ccccc2)CC1)N1CCNCC1,train
D3R_000118,C#CCN1CCN(CC#Cc2ccccc2Cl)CC1,C(#Cc1ccccc1)CN1CCNCC1,C(#Cc1ccccc1)CN1CCNCC1,train
D3R_000119,C#CCN1CCN(CC(=O)N(CC)Cc2ccccc2)CC1,O=C(CN1CCNCC1)NCc1ccccc1,O=C(CN1CCNCC1)NCc1ccccc1,train
D3R_000120,C#CCN1CCN(CC(=O)NCC2(c3ccccc3)CCCC2)CC1,O=C(CN1CCNCC1)NCC1(c2ccccc2)CCCC1,O=C(CN1CCNCC1)NCC1(c2ccccc2)CCCC1,train
D3R_000121,C#CCN1CCN(CC(=O)Nc2c(C)nn(C)c2C)CC1,O=C(CN1CCNCC1)Nc1cn[nH]c1,O=C(CN1CCNCC1)Nc1cn[nH]c1,test
D3R_000122,C#CCN1CCN(Cc2cnc(Cl)s2)CC1,c1ncc(CN2CCNCC2)s1,c1ncc(CN2CCNCC2)s1,train
D3R_000123,C#CCN1CCN(S(=O)(=O)c2ccccc2S(C)(=O)=O)CC1,O=S(=O)(c1ccccc1)N1CCNCC1,O=S(=O)(c1ccccc1)N1CCNCC1,train
D3R_000124,C#CCN1CCN([C@@H](C)C(=O)N(C)Cc2cccc(F)c2)CC1,O=C(CN1CCNCC1)NCc1ccccc1,O=C(CN1CCNCC1)NCc1ccccc1,train
D3R_000125,C#CCN1CCN([C@H](C)C(=O)N[C@H](C)c2ccc(Cl)cc2Cl)CC1,O=C(CN1CCNCC1)NCc1ccccc1,O=C(CN1CCNCC1)NCc1ccccc1,train
D3R_000126,C#CCNC(=O)COC(=O)c1sc(NC(=O)c2ccco2)cc1C,O=C(Nc1cccs1)c1ccco1,O=C(Nc1cccs1)c1ccco1,test
D3R_000127,C#CCNC(=O)N1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1,O=S(=O)(c1ccc2ccccc2c1)N1CCNCC1,O=S(=O)(c1ccc2ccccc2c1)N1CCNCC1,train
D3R_000128,C#CCNC(=O)NNC(=O)[C@@H](C)Oc1ccc2ccccc2c1,c1ccc2ccccc2c1,c1ccc2ccccc2c1,train
D3R_000129,C#CCNC(=O)NNc1c(Cl)cc(Cl)cc1Cl,c1ccccc1,c1ccccc1,train
D3R_000130,C#CCNC(=O)N[C@@H](CC(C)C)c1ccccc1OC,c1ccccc1,c1ccccc1,train
D3R_000131,C#CCNC(=O)N[C@H](c1ccccc1)C(F)(F)F,c1ccccc1,c1ccccc1,train
D3R_000132,C#CCNC(=O)[C@H]1CCCN(C(=O)CCOc2ccccc2)C1,O=C(CCOc1ccccc1)N1CCCCC1,O=C(CCOc1ccccc1)N1CCCCC1,train
D3R_000133,C#CCNC(=O)c1cc(C(=O)CC(C)C)c[nH]1,c1cc[nH]c1,c1cc[nH]c1,train
D3R_000134,C#CCNC(=O)c1cc(Cl)cc2cccnc12,c1ccc2ncccc2c1,c1ccc2ncccc2c1,train
D3R_000135,C#CCNC(=O)c1cc(OC)c(OC)cc1NC(=O)c1ccccc1,O=C(Nc1ccccc1)c1ccccc1,O=C(Nc1ccccc1)c1ccccc1,train
D3R_000136,C#CCNC(=O)c1ccc(NC[C@H]2CC[C@@H](C(=O)N(C)C)O2)nc1,c1ccc(NC[C@H]2CCCO2)nc1,c1ccc(NCC2CCCO2)nc1,train
D3R_000137,C#CCNC(=O)c1ccccc1NCc1ccc(OC)cc1Cl,c1ccc(CNc2ccccc2)cc1,c1ccc(CNc2ccccc2)cc1,train
D3R_000138,C#CCNC(=O)c1ccnc(OC2CCCCC2)c1,c1ccc(OC2CCCCC2)nc1,c1ccc(OC2CCCCC2)nc1,train
D3R_000139,C#CCNC(=O)c1cn2ccccc2n1,c1ccn2ccnc2c1,c1ccn2ccnc2c1,train
D3R_000140,C#CCNC1=C(Br)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,O=C1C=CC(=O)c2ccccc21,train
D3R_000141,C#CCNCC(=O)N1CCN(Cc2ccsc2)CC1,c1cc(CN2CCNCC2)cs1,c1cc(CN2CCNCC2)cs1,train
D3R_000142,C#CCNCC(=O)NCc1cc(C)no1,c1cnoc1,c1cnoc1,train
D3R_000143,C#CCNCC(=O)N[C@@H](C)CCc1ccccc1,c1ccccc1,c1ccccc1,train
D3R_000144,C#CCNCC(=O)N[C@@H](C)c1nc(C)cs1,c1cscn1,c1cscn1,train
D3R_000145,C#CCNCC(=O)N[C@H](C)Cc1ccco1,c1ccoc1,c1ccoc1,train
D3R_000146,C#CCNC[C@H](C)Sc1cc2ccccc2[nH]1,c1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1,train
D3R_000147,C#CCNS(=O)(=O)c1cccc(C(=O)NCCc2cccc(O)c2)c1,O=C(NCCc1ccccc1)c1ccccc1,O=C(NCCc1ccccc1)c1ccccc1,train
D3R_000148,C#CCOC1=C(Cl)C(=O)c2cccnc2C1=O,O=C1C=CC(=O)c2ncccc21,O=C1C=CC(=O)c2ncccc21,train
D3R_000149,C#CCOC1=CC(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,O=C1C=CC(=O)c2ccccc21,train
D3R_000150,C#CCOCC1CCN(C(=O)Cc2noc3ccccc23)CC1,O=C(Cc1noc2ccccc12)N1CCCCC1,O=C(Cc1noc2ccccc12)N1CCCCC1,valid
D3R_000151,C#CCOCC1CCN(S(=O)(=O)Cc2cccc(C)c2)CC1,O=S(=O)(Cc1ccccc1)N1CCCCC1,O=S(=O)(Cc1ccccc1)N1CCCCC1,train
D3R_000152,C#CCOC[C@H]1CCCN(C(=O)Cn2ccc3ccccc32)C1,O=C(Cn1ccc2ccccc21)N1CCCCC1,O=C(Cn1ccc2ccccc21)N1CCCCC1,train
D3R_000153,C#CCOc1c(Br)cc(/C=N/NC(=O)c2ccccc2C)cc1OCC,O=C(N/N=C/c1ccccc1)c1ccccc1,O=C(NN=Cc1ccccc1)c1ccccc1,train
D3R_000154,C#CCOc1c(O)cccc1C=O,c1ccccc1,c1ccccc1,train
D3R_000155,C#CCOc1cc(F)ccc1NC(=O)N1C[C@H](O)C[C@H]1C1CCCCC1,O=C(Nc1ccccc1)N1CCC[C@H]1C1CCCCC1,O=C(Nc1ccccc1)N1CCCC1C1CCCCC1,train
D3R_000156,C#CCOc1cc(F)ccc1NCc1ncccc1C(F)(F)F,c1ccc(NCc2ccccn2)cc1,c1ccc(NCc2ccccn2)cc1,train
D3R_000157,C#CCOc1ccc(Br)cc1/C=N/NC(=O)C(=O)Nc1cccc(Cl)c1Cl,O=C(N/N=C/c1ccccc1)C(=O)Nc1ccccc1,O=C(NN=Cc1ccccc1)C(=O)Nc1ccccc1,train
D3R_000158,C#CCOc1ccc(CCNC(=O)Nc2cnn(C(C)(C)C)c2)cc1,O=C(NCCc1ccccc1)Nc1cn[nH]c1,O=C(NCCc1ccccc1)Nc1cn[nH]c1,train
D3R_000159,C#CCOc1ccc(CN(C)[C@@H](C)CC#N)cc1,c1ccccc1,c1ccccc1,train
D3R_000160,C#CCOc1ccc(CN2CC[S@](=O)C(C)(C)C2)cc1,O=S1CCN(Cc2ccccc2)CC1,O=S1CCN(Cc2ccccc2)CC1,train
D3R_000161,C#CCOc1ccc(F)cc1NC(=O)C(=O)N[C@@H]1C[C@H]2C[C@@H]1[C@H]1CCC[C@H]21,O=C(Nc1ccccc1)C(=O)N[C@@H]1C[C@H]2C[C@@H]1[C@H]1CCC[C@H]21,O=C(Nc1ccccc1)C(=O)NC1CC2CC1C1CCCC21,train
D3R_000162,C#CCOc1ccc(N(C)C(=O)c2cccc(F)c2Cl)cc1,O=C(Nc1ccccc1)c1ccccc1,O=C(Nc1ccccc1)c1ccccc1,train
D3R_000163,C#CCOc1ccc(NC(=O)N[C@H]2CCC[C@H]2C(=O)OC)cc1,O=C(Nc1ccccc1)NC1CCCC1,O=C(Nc1ccccc1)NC1CCCC1,train
D3R_000164,C#CCOc1ccc(OCC#C)c(C=O)c1,c1ccccc1,c1ccccc1,train
D3R_000165,C#CCOc1ccccc1/C=C(\C#N)c1nc2ccccc2s1,C(=Cc1nc2ccccc2s1)c1ccccc1,C(=Cc1nc2ccccc2s1)c1ccccc1,train
D3R_000166,C#CCOc1ccccc1CN1CCO[C@@H]2CCCC[C@@H]21,c1ccc(CN2CCO[C@@H]3CCCC[C@@H]32)cc1,c1ccc(CN2CCOC3CCCCC32)cc1,train
